STARTTRAVELDATE,STARTREGION,ENDREGION,NUMVISITS
2016-03-01 05:00:00,SUNGEI KADUT_0,PUNGGOL_0,1
2016-03-01 05:00:00,SUNGEI KADUT_0,QUEENSTOWN_0,3
2016-03-01 05:00:00,SUNGEI KADUT_0,SEMBAWANG_0,2
2016-03-01 05:00:00,SUNGEI KADUT_0,SERANGOON_0,1
2016-03-01 05:00:00,SUNGEI KADUT_0,TAMPINES_0,2
2016-03-01 05:00:00,SUNGEI KADUT_0,TOA PAYOH_0,8
2016-03-01 05:00:00,SUNGEI KADUT_0,WOODLANDS_0,9
2016-03-01 05:00:00,SUNGEI KADUT_0,YISHUN_0,5
2016-03-01 05:00:00,TAMPINES_0,BEDOK_0,1
2016-03-01 05:00:00,TAMPINES_0,BUKIT MERAH_0,5
2016-03-01 05:00:00,TAMPINES_0,CHANGI_0,2
2016-03-01 05:00:00,TAMPINES_0,CLEMENTI_0,4
2016-03-01 05:00:00,TAMPINES_0,DOWNTOWN CORE_0,10
2016-03-01 05:00:00,TAMPINES_0,GEYLANG_0,3
2016-03-01 05:00:00,TAMPINES_0,JURONG EAST_2,4
2016-03-01 05:00:00,TAMPINES_0,JURONG WEST_0,1
2016-03-01 05:00:00,TAMPINES_0,KALLANG_0,3
2016-03-01 05:00:00,TAMPINES_0,NEWTON_0,1
2016-03-01 05:00:00,TAMPINES_0,ORCHARD_0,5
2016-03-01 05:00:00,TAMPINES_0,OUTRAM_0,2
2016-03-01 05:00:00,TAMPINES_0,PASIR RIS_1,1
2016-03-01 05:00:00,TAMPINES_0,PIONEER_0,8
2016-03-01 05:00:00,TAMPINES_0,QUEENSTOWN_0,4
2016-03-01 05:00:00,TAMPINES_0,SINGAPORE RIVER_0,1
2016-03-01 05:00:00,TAMPINES_0,TAMPINES_0,2
2016-03-01 05:00:00,TOA PAYOH_0,CHANGI_0,2
2016-03-01 05:00:00,TOA PAYOH_0,DOWNTOWN CORE_0,1
2016-03-01 05:00:00,TOA PAYOH_0,JURONG EAST_2,2
2016-03-01 05:00:00,TOA PAYOH_0,NEWTON_0,1
2016-03-01 05:00:00,TOA PAYOH_0,NOVENA_0,2
2016-03-01 05:00:00,TOA PAYOH_0,OUTRAM_0,1
2016-03-01 05:00:00,TOA PAYOH_0,PIONEER_0,1
2016-03-01 05:00:00,TOA PAYOH_0,QUEENSTOWN_0,1
2016-03-01 05:00:00,TOA PAYOH_0,WOODLANDS_0,1
2016-03-01 05:00:00,WOODLANDS_0,ANG MO KIO_0,16
2016-03-01 05:00:00,WOODLANDS_0,BEDOK_0,2
2016-03-01 05:00:00,WOODLANDS_0,BISHAN_0,3
2016-03-01 05:00:00,WOODLANDS_0,BUKIT BATOK_0,3
2016-03-01 05:00:00,WOODLANDS_0,BUKIT TIMAH_0,1
2016-03-01 05:00:00,WOODLANDS_0,CHOA CHU KANG_0,2
2016-03-01 05:00:00,WOODLANDS_0,CLEMENTI_0,9
2016-03-01 05:00:00,WOODLANDS_0,DOWNTOWN CORE_0,24
2016-03-01 05:00:00,WOODLANDS_0,GEYLANG_0,4
2016-03-01 05:00:00,WOODLANDS_0,JURONG EAST_2,9
2016-03-01 05:00:00,WOODLANDS_0,JURONG WEST_0,6
2016-03-01 05:00:00,WOODLANDS_0,KALLANG_0,1
2016-03-01 05:00:00,WOODLANDS_0,MUSEUM_0,2
2016-03-01 05:00:00,WOODLANDS_0,NEWTON_0,8
2016-03-01 05:00:00,WOODLANDS_0,NOVENA_0,4
2016-03-01 05:00:00,WOODLANDS_0,ORCHARD_0,3
